ID	K.ERR247139	K.ERR247140	K.ERR247141	K.ERR247142	K.ERR247143	K.ERR247144	K.ERR247145	K.ERR247146	K.ERR247147	K.ERR247148	K.ERR247149	K.ERR247150	K.ERR247153	K.ERR247154	K.ERR247155	K.ERR247156	K.ERR247157	K.ERR247158	K.ERR247159	K.ERR247160	K.ERR247161	K.ERR247162	K.ERR247163	K.ERR247164	K.ERR247165	K.ERR247166	K.ERR247167	K.ERR247168	K.ERR247169	K.ERR247170	K.ERR247171	K.ERR247172	K.ERR247173	K.ERR247174	K.ERR247175	A.ERR247176	x
Anaerotruncus	0.00103705	0	0	0	0.00079699	0.00144035	0.00096754	0.00076768	0.00072115	0.00067437	0.00055188	0.00120138	0.00024861	0.00046755	0.00045479	0	0	0	0.00044357	0.00027683	0.00235416	0.00074875	0.00132391	0.00271064	0.00050464	0.00091235	0.00081889	0.00053006	0	0.00019102	0.00046344	0.00129822	0.00031026	0	0.00099581	0.00042967	
Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059245	0.00023498	0.00013528	0.00015046	0	0	0	0	0	0	0	0	0	0	
Bacillus	0.00140215	0.0004681	0	0.00030558	0.00126566	0.00344625	0.0013107	0.00149363	0.00090408	0.00153552	0.00423543	0.00171027	0.00037424	0.00036081	0.0008661	0	0	0.00036377	0.00092886	0.00078359	0.00185438	0.00091316	0.00168365	0.00142354	0.00131109	0.00131046	0.00143231	0.0007558	0.00041405	0.00073047	0.00069334	0.00091625	0.00077891	0.00065172	0.00072192	0.0004512	
Bacteroides	0.12732072	0.48252712	0.35095771	0.58583672	0.04799544	0.0791325	0.08522748	0.00945224	0.05932987	0.06493711	0.03141034	0.07764066	0.33571709	0.3698446	0.13249746	0.67512979	0.75342205	0.57809342	0.06343801	0.19578385	0.01052657	0.07887397	0.03326	0.16732452	0.14522536	0.05020968	0.24906292	0.33672336	0.3867982	0.19457967	0.2353813	0.12116898	0.0206861	0.03878181	0.05832982	0.15349885	
Barnesiella	0	0	0	0	0.00058647	0.00045357	0.000265	0	0	0.00045094	0	0.00079505	0	0	0	0	0	0	8.18E-05	0.0057273	0	0	0.00417238	0.00077678	0.0011459	0	0.00272515	0.00919236	0.00028564	0.00063352	0.00116739	0.0005134	0	0	0	0.0003177	
Bifidobacterium	0.0042058	0	0	0.06185616	0.00087091	0.00050393	0.07908426	0.00501984	0.01035125	0.01646281	0.00042555	0.00737789	0.11050364	0.01580559	0.07289363	0	0	0.0207133	0.04869686	0.02071415	0.00828268	0.00058159	0.01072934	0.01985604	0.02226259	0.01305624	0.00054387	0.00114227	0.02116143	0.00134638	0.0070703	0.02409197	0.07666007	0.00800167	0.01130569	0.15014734	
Bilophila	0	0	0	0	0	0	0	0	0	0	0.00052277	0.00026613	0	0	0	0	0.00077332	0.00162975	0	0	0	0	0.00031594	0.00183147	0	0	0	0	0.0007424	0.00036022	0	0	0	0	0	0	
Blastocystis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479104	0	0	0	0.00040098	0	0	0	0	0	0	0	0	
Blautia	0.00518453	0.00742815	0.00264083	0.00199744	0.01538213	0.00526171	0.0069075	0.01887386	0.00817548	0.00365454	0.01311776	0.00934353	0.00571168	0.00653732	0.0358393	0	0.00152037	0.00185347	0.01205137	0.00785938	0.0202026	0.0174221	0.00192988	0.00257181	0.00295693	0.00322089	0.00400243	0.00562463	0.00206451	0.00243063	0.00847842	0.00516511	0.0122616	0.00233168	0.01123955	0.02454874	
Bordetella	0	0	0	0	0	0	0	0	0	0	0.0019989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brachyspira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079816	0	0	0	0	0	0	0	0	0	0	
Butyricicoccus	0	0	0	0	0	0.00027689	0	0	0	0	0	0.0003009	0.00058075	0.00048515	0.00406691	0	0	0	0	0	0	0.00022038	0.00025126	0.00046046	0	0.00022061	0.00029486	0	0	0	0.00087531	0	0.00068494	0	0.00092404	0	
Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269753	0	0	0.00031336	0	0	0.00048187	0.00158729	0.00066969	0.00038706	0	0	0.00028912	0	0.0004503	0	0	0	0	0.00017148	
Butyrivibrio	0.00229273	0.00104206	0.00032349	0.00053004	0.00111102	0.01168499	0.00113319	0.00239724	0.00099142	0.00084166	0.00124619	0.00190174	0.00098366	0.00062905	0.00124864	0	0	0.00052572	0.00153143	0.00154083	0.00178974	0.00476168	0.00108813	0.00160236	0.00076528	0.00216405	0.00280645	0.00126188	0.0002527	0.00059577	0.00108967	0.0012097	0.00104034	0.00089579	0.00158189	0.00057061	
Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012826	0	0	0	0	0	0	0	
Catenibacterium	0.00091433	0.00033986	0	0	0.00104941	0.01048477	0.00073031	0.00179918	0.04746416	0.00816931	0.01708599	0.01607978	0.06558135	0.00363928	0.0672882	0	0	0.00026184	0.06099196	0.09045621	0.00070417	0.0010408	0.00629985	0.00023856	0.00031363	0.00038593	0.00043788	0.00032829	0.00032408	0.00020639	0.00029178	0.00047996	0	0.04081834	0.0407519	0.03796788	
Cellulosilyticum	0	0	0	0	0	0.0003348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Citrobacter	0.00025423	0	0.00341144	0	0	0	0	0	0	0	0.00055132	0	0	0	0	0	0	0.00593429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Clostridium	0.03758906	0.0057969	0.01384135	0.00599523	0.02104936	0.06069715	0.0441188	0.04553975	0.01554362	0.02626473	0.02504288	0.03819444	0.00774863	0.00765541	0.01189564	0	0.00247943	0.00327626	0.02093732	0.00737669	0.06227705	0.01619065	0.06318526	0.01874848	0.03156408	0.03640946	0.02309697	0.01621146	0.00359659	0.01708849	0.00988063	0.01404059	0.01374153	0.00820161	0.01665516	0.01313013	
Collinsella	0.00321969	0.00964319	0	0	0.00460186	0.00528478	0	0.00053037	0.01075578	0.00272839	0.00544571	0.00769474	0.01647722	0.00757562	0.02161232	0	0	0	0.00279899	0.01496683	0.01657854	0.01015915	0.00384304	0.00204699	0.00387143	0.00240813	0.00011497	0.00075736	0.0021877	0.00095361	0.00196532	0.00366452	0.01657921	0.00483538	0.00018441	0.01958869	
Coprobacillus	0.00159734	0.00044753	0.00023105	0	0.00116266	0.00267994	0.00168357	0.00533636	0.00192792	0.00050178	0.00095395	0.00100228	0.00129092	0.00102014	0.00496676	0	0	0.00042359	0.00127074	0.00168698	0.00164421	0.00140095	0.00062721	0.00032954	0.00081477	0.00087877	0.00060568	0.00030018	0.012376	0.00051278	0.00155327	0.00155451	0.0012225	0.00113842	0.0014158	0.00105099	
Coprococcus	0.00246049	0.00174422	0.00057054	0.00061584	0.00237351	0.00351939	0.01558602	0.00608605	0.0033776	0.00432757	0.00256172	0.01218378	0.00138031	0.00353185	0.00546835	0	0.00016321	0.0021484	0.01952965	0.00226099	0.00936719	0.00427257	0.00109937	0.02216004	0.01281643	0.00103516	0.00350216	0.02511817	0.00100385	0.00080206	0.00583776	0.01572619	0.00358387	0.01176187	0.02041168	0.00431215	
Coraliomargarita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Desulfitobacterium	0	0	0	0	0	0.00035944	0	0	0	0	0	0.00022346	0	0	0	0	0	0	0	0	0	0	0.00027321	0.00029059	0	0.00042722	0	0.00022637	0	0	0	0	0	0	0	0	
Desulfosporosinus	0	0	0	0	0	0.00036019	0	0.00041089	0	0	0	0.00039542	0	0	0	0	0	0	0.00026922	0	0	0.0003742	0.00020742	0	0.00037932	0.00034146	0.00037166	0.0002691	0	0	0.00021095	0	0	0	0	0	
Desulfovibrio	0	0	0	0	0.00051153	0	0	0	0.00010421	0	0	0.00021856	0	0	0	0	0	0	0	0	0	0	0.00023872	0	0	0	0	0	0.00010928	0	0	0	0	0	0	0	
Dialister	0.00880302	0	0	0	0	0	0.00812039	0.01300548	0.05683435	0.01135105	0	0	0	0	0.00651576	0	0.00055257	0.00440615	0.00233407	0	0	0	0.02264112	0.01055209	0.01645946	0.01654059	0	0.00287036	0.0080125	0.01699964	0.0135321	0.01885668	0.00225108	0.04091247	0.036709	0.00700161	
Dorea	0.00346178	0.00400773	0.00263515	0.00119784	0.00352793	0.01084125	0.0079579	0.00789521	0.01302147	0.0029335	0.00384666	0.00221512	0.00621205	0.00835364	0.01777849	0	0.00028684	0.00072772	0.00448079	0.00743912	0.01257003	0.01644377	0.00151814	0.00414886	0.00225118	0.00288649	0.00187231	0.00244809	0.00421468	0.0020021	0.0062766	0.00421138	0.01742344	0.00219881	0.01732932	0.00925609	
Eggerthella	0	0	0	0	0	0.00018115	0	0	0.00023113	0	0	0.00022038	0.00037466	0	0	0	0	0	0.00022682	0.00027292	0.00158268	0.00081616	0.00016657	0	0.00062782	0	0	0	0	0	0.00014424	0	0	0	0.0006977	0.00121975	
Eggerthia	0	0	0	0	0	0.00046012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Enterobacter	0.00026056	0	0.0316281	0	0	0	0.00132126	0	0.000908	0	0.02351965	0	0	0	0	0.02124985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058645	0	0	0	
Enterococcus	0.000921	0.00034128	0	0	0.0007388	0.00099531	0.00123963	0.00096821	0.00056156	0.00033345	0.00045922	0.00061291	0.00051634	0.00049035	0.00083296	0	0	0.00020305	0.00063199	0.00074541	0.00289229	0.00199227	0.00073858	0.00074707	0.00040449	0.0005609	0.00052306	0.00043771	0.00074515	0.00079554	0.00052284	0.0006617	0.00097113	0.00028355	0.00058398	0.00060976	
Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Erysipelatoclostridium	0.0015865	0.000297	0	0	0.00063382	0.00029183	0.00113119	0.00404514	0	0	0	0.00031584	0	0.00080473	0.00390982	0	0	0.00038378	0	0	0.00030714	0.00086374	0	0	0.00014372	0.00017542	0.0001378	0	0.00073786	0.00020765	0.00035911	0.00081375	0	0.00037298	0	0	
Escherichia	0.00042169	0	0.06307012	0	0	0	0	0	0	0.01020883	0.04094731	0.01491213	0	0.00062476	0	0.03546171	0	0	0	0.01706391	0	0.00055406	0.02454002	0.00681042	0.00075518	0.0023215	0	0	0.00445439	0	0.00011124	0.00144737	0.00076073	0	0	0.00187669	
Ethanoligenens	0	0	0	0	0	0.00033972	0	0	0	0	0	0.00035527	0	0	0	0	0	0	0	0	0	0	0.00034084	0.00042135	0	0	0	0	0	0	0	0	0	0	0	0	
Eubacterium	0.07780886	0.05125078	0.01909054	0.03295769	0.02277271	0.02134747	0.04640118	0.12124304	0.0197531	0.02619335	0.05544824	0.0453112	0.05770748	0.035246	0.03256214	0	0.00071368	0.03729231	0.05192625	0.06282715	0.02542788	0.07444487	0.02618528	0.03790082	0.02009207	0.04868038	0.08228575	0.04023752	0.00919579	0.02652347	0.05228568	0.06356353	0.03313856	0.04101549	0.10007295	0.02771962	
Faecalibacterium	0.02187771	0.01802483	0.02797613	0.03208072	0.0013878	0.00635704	0.01255392	0.0076623	0.03114745	0.01443964	0.01108388	0.00695706	0.01470152	0.01905443	0.03263771	0	0.01658789	0.02995672	0.00803629	0.00729431	0.00172293	0.01063785	0.00553147	0.0106313	0.00604921	0.00193499	0.01217086	0.00864792	0.00770403	0.03164517	0.01001447	0.0142226	0.02888814	0.01179611	0.02611087	0.0151381	
Faecalitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flavonifractor	0	0	0	0	0	0	0	0	0	0	0	0.00040244	0	0	0	0	0.00027105	0.0002955	0	0	0	0	0.00039125	0.00049217	0.00038705	0.00016701	0	0	0	0	0.00030057	0.00034332	0	0	0.00023468	0	
Fusobacterium	0	0	0	0	0	0.00041938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032321	0.00042449	0.00052424	0	0	0	0	0.03264649	0.0271159	0	0	0	0	0	0	
Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036266	0	0	0	0	0	0	0	
Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013524	0	0	0	0	0	0	0	0	0	0	0.00032359	
Haemophilus	0.00010309	0.00032596	0	0	0.00024269	0	0	0	0.00356025	0	0	0	0	0	0.0023932	0	0	0	0	0	0	0.001917	0	0	0	0	0	0	0	0.00046194	0	0	0	0	0	0	
Haloplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038825	0	0	0	0	0	0	0	0	0	0	0	0	0	
Holdemanella	0.00048625	0	0	0	0.00074169	0.01039055	0	0.00078894	0.02054525	0.00974478	0.00030655	0.00031929	0.01260023	0.03827083	0	0	0	0	0.0319748	0.05417398	0.0311898	0.0471559	0.00445043	0.00245338	0.0069222	0.00462778	0	0	0.00658697	0.0172448	0.0196686	0.01059617	0.14650305	0.00925031	0.03085685	0.01807682	
Holdemania	0	0	0	0	0	0.00036888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057346	0.00048066	0.00051875	0	0	0	0	0	0	0.00023346	0	0	0	0.00026896	0	
Intestinibacter	0.00168431	0.00199933	0	0.00430116	0.00085591	0	0.00596653	0.01406	0.00036658	0.00614089	0	0	0	0.00087203	0.00166229	0	0	0.00035724	0	0	0.00084966	0	0.00221977	0	0.00012217	0.00017856	0	0	9.11E-05	0.00549495	0.00076126	0.00011655	0.01639486	0.00032799	0.00105664	0	
Klebsiella	0.00032074	0	0.00114618	0	0	0	0	0	0	0	0.0010372	0	0	0	0	0.0123098	0	0	0	0	0	0.00015198	0.00057821	0	0	0	0	0	0	0	0	0	0.00313461	0	0	0	
Kurthia	0	0	0	0	0	0	0	0	0	0	0.00039944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lachnoclostridium	0.00399252	0.00327534	0	0	0.00318801	0.00299017	0.00272658	0.00494008	0.0017508	0.00124409	0.00156629	0.00253815	0.00136583	0.00160802	0.0027399	0	0	0.00132727	0.00259684	0.00165902	0.0033488	0.00291335	0.00255039	0.00369142	0.00109925	0.00135984	0.00505365	0.00426467	0.00131474	0.00028315	0.00306118	0.00210957	0.00494801	0.00036459	0.00379899	0.00204925	
Lactobacillus	0.02289194	0	0	0	0.00058374	0.00073019	0.00132178	0.00069025	0.00826616	0.01674488	0.00038495	0.00040138	0.00043499	0.00035917	0.0070819	0.00052488	0	0	0.00039837	0.00046368	0.02297682	0.00441372	0.00860385	0.01464219	0.01858464	0.05004227	0.00046391	0.00035554	0.00013897	0.00030576	0.000642	0.02001415	0.00070166	0.01426496	0.00638851	0.07248177	
Leptotrichia	0	0	0	0	0	0	0	0	0.0003652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Leuconostoc	0	0	0	0	0	0	0	0.00028925	0.0016824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0.01328765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mahella	0.00063289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022463	0.00035813	0	0	0	0	0	0	0	0	0	0	0	0	
Marvinbryantia	0.00134922	0.00066833	0.00016601	0.00020353	0.00080587	0.00046508	0.00064181	0.00128657	0.00050236	0.00026244	0.00069544	0.00063344	0.00049215	0.0009228	0.0015331	0	0.00014697	0.0001836	0.00085511	0.00043097	0.00154486	0.00155438	0.00068752	0.00064009	0.0002373	0.0003588	0.00090771	0.00078764	0.00011793	0	0.00057938	0.00049114	0.00125503	0.00025583	0.00090479	0.00063668	
Megamonas	0	0	0	0	0.01730537	0.00017517	0	0	0	0	0	0	0	0	0	0	0	0	0.0039403	0.00285285	0	0	0	0	0	0	0	0	0	0	0.00011744	0.01411005	0	0.18968543	0.00751007	0	
Megasphaera	0	0	0	0	0	0	0	0	0	0.00906985	0	0	0	0	0	0	0	0	0	0	0	0	0.01870243	0	0	0	0	0	0	0	0	0	0	0	0.0048859	0	
Methanobrevibacter	0	0	0	0	0.02733403	0.0194195	0	0	0	0	0.00617745	0.02651465	0	0	0	0	0	0	0	0	0	0	0.00975417	0.01603658	0.02425338	0.05125612	0	0	0	0	0	0	0	0	0	0	
Methanosphaera	0	0	0	0	0.00053305	0.00011163	0	0	0	0	0.00015026	0.00074998	0	0	0	0	0	0	0	0	0	0	0	0	0.0002467	0.00352385	0	0	0	0	0	0	0	0	0	0.00167578	
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02220146	0.00202119	0	0	0	0	0	0	0	0	0	0	0	0	
Mogibacterium	0	0	0	0	0	0.00064489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022594	0	0	0.00019538	0	0	0	0	0	0	0	0	0	0	
Odoribacter	0	0	0	0	0.00166634	0.00058766	0	0	0	0	0.00031671	0.00059936	0	0.00035194	0	0	0.00048623	0.00063352	0.00066042	0.00539181	0	0	0.00042829	0.00147966	0.00855402	0.00208809	0.00172731	0.00144578	0.009087	0.00209707	0.00395708	0	0	0	0.00050547	0.00526245	
Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008875	0.00013869	0.00021087	0.00021688	0	0	0	0	0	0	0	0	0	0	
Oribacterium	0.00043097	0.00040174	0	0	0	0.00042547	0	0.00058487	0	0	0	0.0001976	0	0.00027668	0	0	0	0	0.0003107	0	0	0.00025909	0.0004681	0.00048158	0	0	0.00029778	0.0002793	0	0	0.00042267	0.0005986	0	0	0.00045748	0	
Oscillibacter	0.00280998	0	0.00092187	0.00021738	0.00058444	0.00297597	0.00066161	0.00096046	0.00049717	0.00035428	0.00141886	0.00548905	0.00018285	0.00137791	0.00144362	0	0.00040602	0.00086249	0.00073858	0.00097629	0.00279915	0.00123565	0.00454731	0.01563691	0.00106359	0.00416274	0.00202064	0.00065394	0.00144718	0.00119037	0.00434949	0.00373846	0.00051711	0	0.0025691	0.00121056	
Paenibacillus	0.00152402	0.00025911	0	0	0.00071786	0.00112484	0.00118789	0.0014055	0.00069237	0.00052794	0.00088286	0.00113116	0.00023261	0.00039342	0.00069135	0	0	0.00015405	0.00080862	0.0002555	0.00163044	0.00077398	0.00149874	0.00153516	0.00056106	0.00081422	0.00148907	0.00057939	0.00027968	0	0.00054398	0.00077935	0.00035925	0.00060456	0.00075414	0.00049216	
Parabacteroides	0.00106642	0.00123494	0.00105723	0.00454404	0.00257614	0.00144707	0.00056979	0.00039272	0.00161192	0.00148511	0.0019282	0.00621647	0.01179974	0.00474076	0.00038788	0	0.0108526	0.01313855	0.00115255	0.00658303	0.00150477	0.00182831	0.00829176	0.00779988	0.0127619	0.01085015	0.0044779	0.0092654	0.1015497	0.00644136	0.01038787	0.00268893	0.00031557	0.00146705	0.00114174	0.00132481	
Paraprevotella	0	0	0	0	0.00082593	0.00027329	0	0	0.00077781	0.00193544	0	0.003102	0	0	0	0	0	0	0	0.00027506	0	0	0.00046145	0.00387829	0	0	0.00142804	0.00063741	0.00040535	0.00236632	0.00401112	0.00742432	0	0	0	0.00073145	
Parasutterella	0.0031292	0.00024258	0	0.00047387	0	0	0	0	0	0	0	0	0.00042152	0	0	0	0.00024343	0.00166665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peptoclostridium	0.00039376	0.00026678	0	0.00064683	0	0.00026895	0.00109316	0.00071683	0	0.00027126	0	0.00021672	0.00023839	0	0.0019304	0	0	0	0	0.0002988	0.0006787	0.00011186	0.00039017	0.0001238	0.00061857	0.00111034	0	0	0.00053706	0.00137653	0.00053045	0.00032808	0.00036122	0.00240999	0.000152	0.00018446	
Phascolarctobacterium	0	0	0.00696561	0.00028944	0.00039109	0.00328914	0	0	0	0	0.00810271	0.00900431	0	0	0	0	0	0	0	0.00055073	0	0.00995841	0	0	0	0	0.00340105	0	6.11E-05	0.0019314	0	0	0.0022397	0	0	0	
Porphyromonas	0	0	0	0	0.00072007	0.00038024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00050179	0	0	0	0	0	0.00065937	0	
Prevotella	0.00432868	0.00317376	0.00248831	0.00416748	0.15534429	0.03698445	0.00182758	0.00218977	0.18525124	0.22857278	0.01389163	0.02484615	0.00224672	0.00198627	0.00144941	0.00351328	0.00179375	0.00226287	0.11737353	0.02206017	0.01126715	0.13143568	0.03579509	0.0151318	0.02575099	0.01446146	0.00273424	0.00303604	0.06353481	0.28903806	0.09448026	0.09474957	0.00077462	0.18612823	0.07627327	0.00930304	
Proteus	0	0	0.00173092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pseudoflavonifractor	0.00086273	0	0	0	0	0.00056525	0.00035521	0.00043234	0	0	0.00038546	0.00071147	0.00018464	0.00025836	0.00031082	0	0.0001617	0.00011701	0.00026449	0.00022113	0.00086238	0.00056575	0.00092984	0.00167508	0.00026997	0.00077216	0.00042057	0.00033506	0.00015654	0.00022954	0.00056487	0.00072173	0	0	0.00045753	0.00032413	
Pseudomonas	0	0	0	0	0	0	0	0	0	0	0.04003808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00069294	0	0	0	0	0	0	0	0	0	0.00677443	0	0	0	
Roseburia	0.03724101	0.04722762	0.00117472	0.02518059	0.02044857	0.00296692	0.00695667	0.06453789	0.02726199	0.01329112	0.00388859	0.00271	0.00368081	0.01694843	0.01317317	0	0.00048404	0.00590546	0.0038578	0.00268477	0.00338453	0.01305013	0.00331923	0.00327573	0.00238108	0.00186391	0.02018139	0.01160302	0.00109443	0.03168924	0.00985188	0.04249286	0.01189009	0.0144739	0.01509243	0.00174262	
Ruminiclostridium	0.00726461	0	0.00132892	0.00058047	0.0029435	0.00489842	0.00450435	0.00396571	0.00140332	0.00093296	0.01972489	0.00611998	0.00133848	0.00243591	0.00160213	0	0	0.00055802	0.00144618	0.00094652	0.00714513	0.013642	0.00963561	0.02027613	0.00127041	0.00237423	0.0333797	0.01501367	0.00019069	0.00020783	0.00210593	0.00372635	0.00177703	0	0.00279717	0.0023486	
Ruminococcus	0.13458819	0.01455166	0.05812226	0.00656835	0.03471436	0.03009482	0.08841175	0.05442091	0.02483809	0.02890851	0.03204651	0.03599588	0.06491104	0.1204998	0.0520938	0	0.0027307	0.01346274	0.02820676	0.04830778	0.03504187	0.02945769	0.02277207	0.02140085	0.01480324	0.02453198	0.01912046	0.04655889	0.01114352	0.00615041	0.04909625	0.0631555	0.10221606	0.01403772	0.0439862	0.05475296	
Salmonella	0	0	0.00100665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Selenomonas	0.00032596	0	0	0	0	0.00024804	0.00057306	0	0	0.00027994	0.00032667	0.0002131	0	0	0	0	0	0	0.00028234	0	0	0.00033308	0.00085905	0.00021451	0	0	0.00036191	0.00019407	0	0	0	0	0	0	0.00029074	0	
Slackia	0	0	0	0	0.00017938	0.00025024	0	0	0.00028584	0	0	0	0	0	0	0	0	0	0	0.00027984	0.00052625	0.00030503	0.00030937	0.00023238	0.00030326	0	0	0	0	0	0	0	0	0	0.00015607	0.0004785	
Solibacillus	0	0	0	0	0	0	0	0	0	0	0.00071221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Solobacterium	0	0	0	0	0	0.00145132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253671	0.00035643	0.00241542	0	0	0	0	0	0	0	0	0	0	0	0	
