ID	A.ERR505083	A.ERR505084	A.ERR505085	A.ERR505086	A.ERR505087	A.ERR505088	A.ERR505089	A.ERR505090	A.ERR505091	A.ERR505092	A.ERR505093	A.ERR505094	A.ERR505095	A.ERR505096	A.ERR505097	A.ERR505098	A.ERR505099	A.ERR505100	A.ERR505101	A.ERR505102	A.ERR505103	A.ERR505104	A.ERR505105	A.ERR505106	X
Barnesiella	0	0	0.01543031	0.01697292	0.01738739	0.00240904	0.01236534	0.01383452	0.00203951	0.00101915	0.0041053	0.00965523	0.00053621	0	0.0003906	0.00030538	0.00576996	0.00455252	0.00882314	0.00733369	0	0	0	0.0361059	NA
Bifidobacterium	0.0037177	0.00588848	0.00271317	0.00274674	0	0.00022789	0.00035853	0	0	0	0.0050479	0.00607495	0	0	0	0	0	0	0.00038199	0.00029396	0	0	0.00025691	0.000223	NA
Bilophila	0.00034307	0.00148837	0.00026276	0.00016255	0	0.00043075	0	0	0	0	0.00039879	8.489e-05	0	0	0	0	9.594e-05	0	9.558e-05	0.00035216	0.00012525	0	0	0	NA
Blastocystis	0.00091941	0.00480574	0.00057301	0.00114704	0	0	0	0	0	0	0	0	0	0	0.00073306	0.00316929	0.00040657	0.00148632	0	0	0	0	0.00057311	0.00076707	NA
Blautia	0.00309751	0.002396	0.00205935	0.00238251	0.00384429	0.00266011	0.00697901	0.00145672	0.00244623	0.00106278	0.0059302	0.00709793	0.00150607	0.00135059	0.00490449	0.00291861	0.00249414	0.00194941	0.00811349	0.0023561	0.00364393	0.00330554	0.00468936	0.00705217	NA
Butyricicoccus	0.00025261	0.00022228	0.00024406	0.00031118	0	0.00011428	0.00016227	0.00028283	0.00011588	0	0.00019146	0.00031649	0	0	0	0.00011317	0	0	0	0.00012019	0.00010755	0	0.00015535	0.00019384	NA
Butyricimonas	0.00081104	0.00025465	0.00200038	0.00116025	0.00092945	0.00344072	0.00121111	0.00225747	0.00676217	0.00203202	0.00172608	0.00489154	0.00072142	0	0.00220728	0.00069577	0.00064064	0.00051447	0.00231581	0.00604865	0	0	0.00198253	0.00315601	NA
Butyrivibrio	0.00134698	0.00186364	0.00099414	0.00108724	0.00218111	0.00157161	0.00122557	0.00133319	0.00069359	0.00112247	0.00079318	0.0004624	0.00171247	0.00083446	0.00164806	0.00127482	0.00078139	0.00089785	0.00149838	0.0005693	0.00060063	0.00069888	0.00263119	0.00090647	NA
Candidatus_Methanomethylophilus	0.00032472	0.00052776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Capnocytophaga	0	0	0	0	0	0	0	0	0.00049851	0.00069969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Catenibacterium	0.00352274	0.00117412	0.00038925	0.00036469	0.00043184	0.00064856	0.00031866	0.00025378	0.01122618	0.01501877	0.00031578	0.00046232	0.00848576	0.01037804	0.01296648	0.01076177	0	0.00019517	0.0006359	0.00012799	0.00042567	0.00057889	0.00049647	0.00032603	NA
Cellulosilyticum	0.00016127	0.00013498	0	0.00017873	0	0	0.00012654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019204	0	NA
Clostridium	0.00863002	0.00925263	0.01434612	0.01378241	0.01387393	0.0420484	0.01041851	0.01163201	0.00926396	0.00392514	0.00857455	0.00841643	0.02463063	0.00994615	0.01662081	0.01760721	0.00737032	0.01244596	0.01077654	0.00509736	0.0111314	0.02170805	0.02366562	0.00782542	NA
Collinsella	0	0	0.00022586	0.00033554	0	0.00010138	0	0	0.00016948	0	0.00085407	0.0001625	0	0	0	0	0	0.00032175	0	7.67e-05	0	0	0	0.0001577	NA
Coprobacillus	0.00058972	0.00037231	0.00024871	0.00028539	0.00043937	0.00086394	0.00040623	0.00286349	0.00023202	0.00021006	0.00034559	0.00063302	0.00030735	0	0.00059363	0.00045668	0	0.0003193	0.00106144	0.00017416	0.00094363	0.00121078	0.00102805	0.00094292	NA
Coprococcus	0.00430117	0.00292049	0.00380387	0.00530643	0.00196369	0.00557076	0.01315711	0.00181814	0.00134604	0.00140125	0.00107871	0.0013307	0.00215932	0.00182002	0.00236509	0.0116188	0.00754953	0.00415595	0.0046057	0.00173484	0.00184032	0.00184342	0.00211847	0.00592228	NA
Coraliomargarita	0.00094455	0.00085121	5.158e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019299	NA
Dehalobacter	0	0	0	0	0	0.00015456	0	0.00010224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Desulfitobacterium	0.00026251	0.00025016	0.00022671	0.00030939	0	0.00028973	0.00024816	0.00018965	0	0.00013528	0.00034019	0.00021138	0	0	0	0	0	0.00019586	0	0	0	0	0.0001989	0	NA
Desulfosporosinus	0.00017856	0.00015113	0.000175	0.00027693	0	0.00018529	0.00017087	0.00034092	0	0	0	0	0	0	0	0.00020253	0	0	0	0	0	0	0.00047566	0	NA
Desulfovibrio	0.00022346	0.00044535	0.00094967	0.00092237	0	0.00021501	0.00025262	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00023375	0.00019525	0	0.00031611	NA
Dialister	0.00354068	0.00464058	0	0	0	0	0	0	0.00249281	0.00189031	0.00346146	0	0	0	0	0	0.00067635	8.02e-05	0.01092312	0.00639068	0.01115301	0.00405351	0	0	NA
Dorea	0.00308364	0.00113764	0.00453158	0.006523	0.00195189	0.00272858	0.00559022	0.00099768	0.0007863	0.00194844	0.00280339	0.00134102	0.0040821	0.00515023	0.00415222	0.00306287	0.01032564	0.00702891	0.00522885	0.00189314	0.00368037	0.00285711	0.00243469	0.0039372	NA
Dysgonomonas	0.00016046	0.00016395	0.00060689	0.00050273	0	0.00014713	0	0.00031915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0.00012208	0	0	0	0	0	0	0	0	0	0	0	0	NA
Elusimicrobium	0	0	0	0	0	0	0	0	0.00629279	0.02425164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Enterococcus	0.0004454	0.00040294	0.00038792	0.00053293	0.00040052	0.00062938	0.00034965	0.00041803	0.00016801	0.00034421	0.00090237	0.00056076	0.00039953	0	0.00057507	0.00057014	0.00023435	0.00049544	0.00063438	0.00027071	0.00020117	0.00023773	0.00054915	0.00077962	NA
Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	7.199e-05	0	0	0	0	0	0	0	0	0	0	0	0	NA
Erysipelatoclostridium	0.00024469	0.00015292	0.00020998	0.00018211	0	0.00061591	0.00014148	0.00080957	0	0	0.00016244	0.00043419	0	0	0	0.00011305	0	0	0.0009806	7.133e-05	0.00092567	0.0011817	0.00056254	0.00053103	NA
Escherichia	0	0	0	0	0	0	0	0	0	0	0.00019503	0	0	0	0	0	0	0.00028768	0	0	0	0	0	0.00192054	NA
Ethanoligenens	0.00019029	0.0002422	0.000166	0.00027658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Eubacterium	0.04168978	0.04825399	0.02273657	0.02381575	0.11233047	0.08407406	0.05434329	0.05180861	0.04175097	0.01902874	0.0225974	0.00715839	0.11720604	0.16078134	0.09219668	0.11200418	0.03416244	0.02145305	0.08622849	0.02989585	0.05073048	0.03087285	0.05199107	0.03094249	NA
Faecalibacterium	0.002112	0.00205442	0.00282521	0.00365696	0.00462273	0.00250331	0.00409304	0.00626746	0.00185119	0.00087055	0.00911543	0.00896216	0.00111793	0.00081979	0.00213507	0.00202057	0.00163981	0.0008605	0.00225411	0.00163268	0.00576139	0.00223018	0.00164154	0.00347396	NA
Faecalitalea	0	0	0	0	0	0	0	0.00027501	0	0	0.00012359	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Flavonifractor	0	0	0.00016238	0.00021451	0	0.00052599	0	0	0	0	7.784e-05	0	0	0	0	0	0	0	0	0	0.00016968	0	0	0.00012667	NA
Fusobacterium	0.00020715	0.00018612	0.00020519	0.0002763	0.0002229	0.000411	0.00017717	0	0	0	0.00020009	0	0	0	0	0	0	0	0	0	0	0	0.00031128	0	NA
Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.488e-05	0	0	0	NA
Haloplasma	0.00125927	0.00053942	0.00092075	0.00117292	0	0.00029064	0	0.0002156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107074	NA
Holdemanella	0.00022172	0.00014483	0.00379585	0.00402265	0	0.00016375	0.01373377	0	0.00559349	0.00283219	9.907e-05	0.00015155	0.00041521	0.00068568	0.01526391	0.00988204	0	0	0.00016639	0	0	0	0.01430961	0.00020494	NA
Holdemania	0.00014237	0.00016833	0.0001225	0.00016359	0	0.00033134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011949	0	0	0	NA
Intestinibacter	0	0	0	0	0.00674052	0	0.00321626	0	0	0	0	0	0.0004867	0.00048174	0	0	0.00146515	0.00153702	0.00016787	0.00011836	6.574e-05	0.00065592	0	0	NA
Lachnoclostridium	0.00268144	0.00345955	0.0025064	0.00354927	0.00341483	0.00285865	0.00333482	0.00497723	0.0007644	0.0009491	0.00235141	0.00185749	0.0012867	0.00104867	0.00401984	0.00298626	0.00181485	0.00175108	0.00390017	0.00281766	0.00228248	0.00173218	0.00439647	0.00307244	NA
Lactobacillus	0.00027375	0.00026399	0.00020734	0.00025243	0.00045278	0.00059325	0.00024274	0.00034646	0.00036822	0.00056931	0.00039411	0.00030112	0	0	0.00055219	0.00040866	0.00023375	0.00022536	0.00043465	0.00018949	0.00029621	0.00040697	0.00028613	0.00020892	NA
Lactococcus	0	0	0	0	0	0	0	0	0	0	4.755e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Lentisphaera	0.00027747	0.00065812	0	0	0	0	0	0	0	0	0	0.00012987	0	0	0	0	0	0	0	0	0	0	0	0	NA
Mahella	0.00016931	0.00017204	0.00019122	0.0002003	0	0.00019124	0.00010658	0.00031978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Marvinbryantia	0.00052566	0.00059608	0.00032132	0.00042314	0.00052317	0.00083661	0.0005886	0.00056381	0.00015491	0.00018678	0.00041106	0.00052221	0	0	0.00066641	0.00049638	0.00067925	0.00031166	0.00053209	0.00020693	0.00053599	0.00056519	0.00045063	0.00043897	NA
Megamonas	0	0	0.00720538	0.00016926	0	0.00018366	0	0	0	0	0	0	0.00026418	0	0	0	0	0	0	0	0	0	0.00178845	0.00573456	NA
Megasphaera	0	0	0	0	0	0	0	0	0	0.00136659	0	0	0.00029189	0.0003514	0	0	0	0	0	0	0	0	0	0	NA
Methanobrevibacter	0.01036023	0.01794367	0.03162742	0.02255742	0.00028263	0	0.01710653	0.01368763	0	0	0	0	0	0.00040918	0.00551549	0.00672628	0	0	0.00793811	0	0	0	4.235e-05	0	NA
Methanomassiliicoccus	0.00020782	0.00018311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Mitsuokella	0	0	0	0	0	0	0	0	0	0.00011478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Odoribacter	0.03326597	0.01029829	0.00478934	0.00292374	0.01108881	0.00460458	0.0154189	0.03156726	0.01728685	0.00507742	0.00640407	0.00335008	0.00309983	0.0021978	0.00886727	0.00198101	0.00659934	0.01119752	0.00811726	0.01570443	0	0	0.00422855	0.01367908	NA
Opitutus	0.00015382	0.0001983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Oribacterium	0.00029611	0.00024156	0.00021882	0.0002873	0.00040888	0.00037547	0.00019756	0.00013784	0.00014824	0.00012151	0.0001545	0	0	0	0.00034354	0.00022428	0	0	0	0	0.00014016	0.0001841	0.00023188	0.0002461	NA
Oscillibacter	0.00263479	0.0059328	0.00244857	0.00499265	0.00030571	0.00148055	0.00113452	0.00084258	0.00136191	0.00043973	0.00466355	0.00522984	0.00024577	0.00025548	0.00043654	0.00038054	0.00042803	0.00099129	0.00061236	0.00038537	0.00116193	0.00023316	0.00033955	0.00080313	NA
Oxalobacter	0.00016537	0.00022855	0.00017431	0	0	0.00013537	0.00035712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Paenibacillus	0.00125716	0.00102653	0.00081855	0.00109281	0.00066045	0.00132276	0.00053572	0.00078273	0.00026855	0.00024585	0.00041744	0.00070442	0.0005608	0.00052006	0.00065008	0.0006349	0.00090869	0.00085504	0.00055796	0.00032885	0.0002211	0.00041262	0.00083695	0.00076233	NA
Parabacteroides	0.00755129	0.00828569	0.01468342	0.00948379	0.00355642	0.02322744	0.04203591	0.03640362	0.01502714	0.00505391	0.01105941	0.02214063	0.00489431	0.00295999	0.01160205	0.00491818	0.02310334	0.03275949	0.00356445	0.00577458	0.00487255	0.00650613	0.01135182	0.0261153	NA
Paraprevotella	0	0	0.00174175	0.00120094	0	0.00428974	0.00163844	0.00104894	0.0061376	0.00146198	0	0	0.0025814	0.00266639	0.01244145	0.00718594	0	0	0	0	0	0	0.00590615	0.00058579	NA
Parasutterella	0.00027301	4.033e-05	0.00010425	0	0	5.716e-05	0	0	0	0	0.00126063	0.00081858	0	0	0.00029202	0.00011562	0	0	0.00150778	0.00148361	0	0	0.00043485	0	NA
Peptoclostridium	0	0	0	0	0.00020476	0	0.00013639	0	0	0	0	0	0.00050573	0	0	0	0	0	0	0	0.00030571	0.00012731	0	0	NA
Phascolarctobacterium	0	0	0.00374132	0.00201753	0.00275041	0.00711431	0.00395483	0.00255134	0.0053568	5.376e-05	0.0029071	0.0025688	0.00492846	0.00475857	0.00679639	0.00773885	0	0	0	0	0	0	0.00413612	0.00247335	NA
Porphyromonas	0	0	0	0	0	0	0	0	0.00123307	0.00041702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Prevotella	0.00147472	0.00129579	0.10185375	0.07405213	0.00147997	0.00253811	0.07063736	0.02939885	0.19550466	0.16986975	0.00255838	0.00271149	0.28357275	0.29150743	0.14051304	0.23861371	0.0016607	0.00194615	0.00180727	0.00153935	0	0	0.0130685	0.00159717	NA
Pseudoflavonifractor	0.0004146	0.00051828	0.0003358	0.00051433	0.00014682	0.00035455	0.0003537	0.00052989	0.00012887	0.00018672	0.00044998	0.00124104	0.000153	0	0	0.00015041	0.00027718	0.00036297	0.00035056	0.00014275	0.0001287	0	0.00015315	0.00051337	NA
Pseudomonas	0	0.00013196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Roseburia	0.00900259	0.02560871	0.01484411	0.00983302	0.01192039	0.00600308	0.02180335	0.00816147	0.00727578	0.00311173	0.01737434	0.0044565	0.0093802	0.00345169	0.03941149	0.01911067	0.00577319	0.00338397	0.01751811	0.00632605	0.00800508	0.00814979	0.01760737	0.00387295	NA
Ruminiclostridium	0.10542825	0.05205764	0.0034944	0.00378341	0.0017394	0.00380394	0.00696219	0.02603142	0.00172743	0.00255792	0.03916567	0.00680197	0.00579634	0.00434572	0.00131474	0.00197907	0.00412461	0.01916994	0.0018648	0.00089538	0.00061156	0.00062139	0.00308769	0.00218977	NA
Ruminococcus	0.03544363	0.02015777	0.03297408	0.02177629	0.01932444	0.03494946	0.02433794	0.01551385	0.00891115	0.00474627	0.02466268	0.02551498	0.00991725	0.00634928	0.01276045	0.00942731	0.06465127	0.02391035	0.04087798	0.01684625	0.02712158	0.02129361	0.01277148	0.02562134	NA
Selenomonas	0.00021274	0.00022707	0.00026432	0.00024395	0	0.00017546	0.0003065	0.00029806	0.00027579	0.00037446	0.00019454	0.00021724	0.00054368	0	0	0.00033071	0	0	0	0	0.00024369	0.0002435	0.00036994	0	NA
Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Solobacterium	0	0.00012649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Streptococcus	0.0005742	0.0004699	0.00053921	0.00051527	0.00066142	0.00074133	0.00059496	0.00050476	0.00026121	0.00076148	0.00123569	0.00548657	0.00055075	0.00037815	0.00366552	0.00053666	0.00033446	0.00032708	0.00070272	0.00021838	0.00028995	0.00034562	0.00090026	0.00048672	NA
Subdoligranulum	0.00135129	0.00248767	0.00362214	0.00566053	0.00111839	0.00130354	0.00123289	0.00156402	0.00055437	0.000285	0.00232067	0.00215759	0.00017807	0	0.00076506	0.00049839	0.00049201	0.00055057	0.00047423	0.00028786	0.0004557	0.0002535	0.00042834	0.00983448	NA
Succinatimonas	0	0	0	0	0	0	0	0	0.06321162	0.13286427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Succinimonas	0	0	0	0	0	0	0	0	0.00341981	0.00526249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Succinispira	0	0	0	0	0	0	0.000127	0	0	0	0	0	0.00021081	0	0	0	0	0	0	0	0	0	0	0	NA
Sutterella	0.00370923	0.00443108	0.00946858	0.01116247	0.0004994	0	0.00130387	0	0.00651801	0.00268714	0	0	0.00025596	0	0.00301641	0.00078091	0.00013114	0	0	0	0	0	0	0.00054765	NA
Synergistes	0	0.0001994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Syntrophobotulus	0	0	0.00018111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Tannerella	0.00025623	0.00023668	0.00148508	0.00156427	0.00126692	0.00453192	0.0011331	0.00396774	0	0	0.00071376	0.00938096	0.00185758	0	0.00026259	0.00026968	0.00564795	0.00195808	0.00098696	0.00175565	0	0	0.00050137	0.00512214	NA
Terrisporobacter	0	0	0	0	0.00584926	0	0.00112391	0.00015412	0	0	0	0	0.00047505	0	0	0	0	0.00165916	0	0	0.00015481	0	0	0	NA
Treponema	0.0006221	0.00058683	0.00072145	0.0009998	0.00081994	0.00090773	0.00044507	0.00067403	0.00094207	0.00113378	0.00045131	0.00027519	0.00045333	0	0.00070963	0.00062193	0.00051795	0.0006442	0.00043727	0.00024521	0.00022183	0.00034912	0.00098706	0.0006005	NA
Trichomonas	0	0	7.52e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
Turicibacter	0	0	0	0	0	0	0.00011152	0	0	0	0	0	0.0001795	0	0	0	0	0	0	0	0.00045673	0	0	0	NA
Tyzzerella	0.00024899	0.00019519	0.00021927	0.00033107	0.00017608	0.00330723	0.00069029	0.00028581	0	0	0.00040728	0.00037504	0	0	0.00042624	0.0002571	0.0003299	0.00028706	0.00025038	0.00016474	0.00043244	0.00024032	0.00025532	0.00057619	NA
Veillonella	0	0	0	0	0.00016055	0	7.158e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063129	0	0	0	NA
